appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
879410,Let's Go There And Wander Nowhere,2018-07-05,1,Polychroma Games,Polychroma Games,windows;mac;linux,0,Single-player;Steam Achievements,Indie,Indie,4,18,13,0,0,0-20000,0.0
650600,Greece Defense TD,2018-03-09,1,GameArx,"TCH International Group, LLC",windows;mac,0,Single-player,Indie;Strategy,Strategy;Indie;Tower Defense,0,2,1,0,0,0-20000,2.79
533340,Captivity,2016-10-19,1,Trauma,New Worlds Games,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure;Casual;Indie,Indie;Action;Adventure,0,25,34,246,246,50000-100000,0.79
374990,Orc Slayer,2015-11-05,1,Cooply Solutions,Cooply Solutions,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;FPS;Indie,21,8,7,0,0,0-20000,3.99
486940,Handball Action Total,2018-02-16,1,netmin games,netmin games,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards,Simulation;Sports,Sports;Simulation,28,11,2,0,0,0-20000,8.99
350480,Tales of Cosmos,2016-10-20,1,Red Dwarf Games,Red Dwarf Games,windows;mac,0,Single-player;Steam Achievements;Includes level editor,Adventure;Indie,Adventure;Indie;Point & Click,14,32,7,0,0,0-20000,11.39
259890,Agricultural Simulator: Historical Farming,2013-11-06,1,Actalogic,United Independent Entertainment GmbH,windows,0,Single-player;Steam Cloud,Simulation,Simulation;Agriculture,0,63,191,191,191,50000-100000,6.99
63940,Men of War: Vietnam,2011-09-08,1,1C Entertainment,1C Entertainment;1C-SoftClub,windows,0,Single-player;Multi-player;Co-op;Steam Cloud;Includes level editor,Strategy,Strategy;RTS;Tactical,22,399,247,10,10,100000-200000,5.59
262550,Gunman Clive,2014-01-03,1,Hörberg Productions,Hörberg Productions,windows,0,Single-player;Steam Achievements,Action;Indie,Indie;Action;Western,9,605,79,31,37,50000-100000,1.59
923370,Cat Warfare,2018-09-08,1,Not-So Classic Games,Not-So Classic Games,windows;mac,0,Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements,Action;Strategy;Early Access,Early Access;Action;Gore,6,8,0,0,0,0-20000,3.99
875630,Call each NEW YEAR,2018-06-22,0,Full Down Games,Full Down Games,windows,0,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual,0,3,4,0,0,0-20000,0.79
898250,PackageRun,2018-08-03,1,Pavel Black,Pavel Black,windows,0,Single-player,Adventure;Casual;Indie,Indie;Casual;Adventure,0,1,1,0,0,0-20000,3.99
